時間,キャスト,セリフ,BGM
,佐倉慈,ぅ…,
,恵飛須沢胡桃,(片目を開けてめぐねぇを見つめる胡桃)ふ…,
,佐倉慈,んもぉ！,
,-,(笑う胡桃とめぐねぇ),
,恵飛須沢胡桃,その髪も、似合ってるよ…めぐねぇ…,
,恵飛須沢胡桃,チビっこいけど、アイツも大事な部員なんだ…守ってやってくれよな、先生,
,恵飛須沢胡桃,おぉい！早く出てこないと、ご飯食べちゃうぞー！由紀がぁ,
,恵飛須沢胡桃,ピンポン玉もあるぞー、キャッチボールしようぜー,
,-,(バリケードに太郎丸の足跡が付いている),
,恵飛須沢胡桃,これは…太郎丸の…まさか…,
,-,(階下に繋がる太郎丸の足跡)まじかよ…こんな階段の先、行ったことねえぞ,
,-,(迫るカレラ),
,恵飛須沢胡桃,なろ…！,
,恵飛須沢胡桃,ここは…確かあのマニュアルに書いてあった…,
,太郎丸,(シャッターの下から現れる太郎丸)クゥーン…,
,恵飛須沢胡桃,太郎丸！,
,恵飛須沢胡桃,ったくー！心配させんなよなぁ！,
,太郎丸,クゥーン…クゥーン…(胡桃の手に噛みつこうとする太郎丸),
,恵飛須沢胡桃,お前…,
,恵飛須沢胡桃,(感染した太郎丸を見る胡桃)どうしたらいい…！どうすれば,
,-,(襲い来る太郎丸。それを避けたりシャベルでガードする胡桃),
,恵飛須沢胡桃,(倒れる太郎丸)ぁ…！ごめん！…は…！,
,恵飛須沢胡桃,太郎…丸…,
,-,(シャベルの柄に噛み付く太郎丸。シャベルを置いてその場から走り去る胡桃),
,恵飛須沢胡桃,考えろ…考えろ…考えろ！,
,-,(胡桃のあとを追う太郎丸),
,-,(ある一室に太郎丸をピンポン玉で誘導する胡桃),
,-,(すかさずドアを閉める胡桃),
,-,(カレラの声が聞こえる),
,恵飛須沢胡桃,は…！,
,恵飛須沢胡桃,お前か…！,
,恵飛須沢胡桃,お前が太郎丸を！,
,-,(シャッターを潜り抜けてカレラとなっためぐねぇを見つける胡桃),
,-,(物陰に隠れる胡桃),
,恵飛須沢胡桃,チクショー…！マジかよ…！,
,-,(歩いてくるめぐねぇ。息を整える胡桃),
,恵飛須沢胡桃,こんなとこに居たのかよ…！,
,-,(太郎丸の歯型がついたシャベルを見る胡桃),
,恵飛須沢胡桃,何でだよ…,
,恵飛須沢胡桃,(めぐねぇめがけて走る胡桃)どうしてだよぉ！,
,恵飛須沢胡桃,ダァァァアアア！！！(シャベルを振りかぶる胡桃),
,恵飛須沢胡桃,(めぐねぇだった者を見て動きを止める胡桃)…！,
,-,(胡桃に噛み付くめぐねぇ),
,-,(玄関を突破しようとしているカレラ),
,-,(ドアを開けて入ってくる由紀達),
,丈槍由紀,ただいまー、太郎丸見つからなかったよ,
,直樹美紀,もうお昼ですけど、太郎丸まだ戻ってきてないですか？,
,若狭悠里,えぇ、私もさっき戻ってきたんだけど…,
,丈槍由紀,くるみちゃんは？,
,若狭悠里,戻ってないわ,
,直樹美紀,まだ探してるのかも、私もう一度探しに,
,-,(ドアが開く音),
,-,(腕から血を流している胡桃),
,若狭悠里,胡桃！？,
,直樹美紀,胡桃先輩！,
,-,(その場に倒れ込む胡桃を支えるりーさん),
,恵飛須沢胡桃,ミスった…,
,直樹美紀,そんな…は…！由紀先輩…,
,丈槍由紀,救急箱、何処にあったっけ,
,若狭悠里,ぇ…職員室にあるはずだけど,
,丈槍由紀,うん…分かった…！,
,-,(走る由紀を見つめるみーくん),
,若狭悠里,美紀さん…,
,若狭悠里,手を貸して,
,直樹美紀,…はい！,
,-,(胡桃を担ぐりーさん),
,恵飛須沢胡桃,ん…めぐ…ねぇ…,
,若狭悠里,？,
,恵飛須沢胡桃,めぐねぇ…だったんだ…,
,若狭悠里,…！,
,-,(ソファーで寝ている胡桃),
,丈槍由紀,ねぇ、りーさん、何か手伝う事ない？,
,若狭悠里,そうね…特に今は…,
,丈槍由紀,ぉ…,
,直樹美紀,じゃあ、お湯を沸かしてきてくれますか？,
,丈槍由紀,うん、やって来る！(部屋を出ていく由紀),
,-,(立ちくらみを起こすりーさんを支えるみーくん),
,直樹美紀,大丈夫ですか…？,
,若狭悠里,ごめんなさい…,
,直樹美紀,いえ,
,若狭悠里,ダメね…しっかりしないと…,
,直樹美紀,先輩はよくやっています…！でも、少しは休んでください,
,若狭悠里,うぅん、由紀ちゃんにばかり頑張らせちゃいけないもの,
,-,(苦しみ始める胡桃),
,恵飛須沢胡桃,ダメ…だった…！ごめん…太郎…丸…！,
,直樹美紀,ぇ…(包帯を落とすみーくん)嘘…,
,恵飛須沢胡桃,避難…！区画…！めぐねぇが…チクショー…,
,丈槍由紀,(お湯を沸かしている)くるみちゃん…大丈夫だよね？めぐねぇ…(シャベルが視界に入る由紀),
,恵飛須沢胡桃,(薄暗い部屋の中心で屈んでいる胡桃。窓の外に広がる無数の目を見る)なんだ…これ…,
,-,(胡桃の目の前に現れる太郎丸),
,恵飛須沢胡桃,太郎…丸？,
,太郎丸,クゥーン…,
,-,(尻尾を振っている太郎丸),
,恵飛須沢胡桃,太郎丸…やっと見つけた…どこ行たんだよお前,
,-,(豹変する太郎丸。後退りする胡桃),
,-,(ドアの向こう側でガリガリ音を立てるめぐねぇ),
,佐倉慈,あ…けて…,
,佐倉慈,開けて…みんな…すき…,
,恵飛須沢胡桃,め、めぐねぇ…？,
,佐倉慈,どうして…？どうして…開けてくれないの？ねぇ,
,恵飛須沢胡桃,よせ…やめろ…！,
,佐倉慈,開けてよ…,
,恵飛須沢胡桃,やめてくれぇぇぇ！！！(落雷),
,-,(苦しんでいる胡桃の汗を拭き取るりーさん),
,-,(椅子に座るりーさん。包丁を手に取る),
,-,(ドアを開けて入ってくるみーくんを見て包丁を隠すりーさん),
,直樹美紀,あの…これを読み返してみたんですけど,
,若狭悠里,え、えぇ…,
,直樹美紀,くるみ先輩。言ってましたよね。めぐねぇと出会ったのは避難区画だって,
,若狭悠里,えぇ、それがどうかしたの？,
,直樹美紀,避難区画には、薬もあるって書かれているんです,
,若狭悠里,何ですって！どこ？,
,直樹美紀,ここです(マニュアルの記述を指さすみーくん),
,若狭悠里,行ってくるわ,
,直樹美紀,いえ、私がゆうり先輩はくるみ先輩を,
,若狭悠里,一人じゃ無理よ！,
,直樹美紀,偵察です、無茶ことはしませんから,
,若狭悠里,胡桃だってそう言って…！,
,直樹美紀,胡桃先輩が怪我したのは…相手がめぐねぇだったからだと思います,
,直樹美紀,私なら大丈夫です…行かせてください,
,丈槍由紀,お湯沸かしてきたよ,
,直樹美紀,ありがとうございます,
,丈槍由紀,あれ？どこ行くの？,
,直樹美紀,部室に。シャベル取ってきます,
,丈槍由紀,ん？ん…(りーさんの方を向く由紀),
,丈槍由紀,りーさん、大丈夫？,
,-,(リーさんの様子を伺う由紀),
,-,(部室にあるシャベルを手に取るみーくん),
,直樹美紀,お借りします、先輩,
,直樹美紀,(振り向くみーくんが太郎丸の事を思い出して涙目になる)ぅ…,
,直樹美紀,(これまでの事を思い出してその場で涙を流す)太郎丸…！,
,-,(玄関のガラスが割れてカレラが侵入する。精神的に追い詰められるりーさん),
,-,(カレラが校舎内に続々と入ってくる),
,-,(カレラとなっためぐねぇが机で何か書いている),
,丈槍由紀,こんなすごい雨久しぶり…あの時みたい…あの時…？ぅ、冷た…あれ,
,丈槍由紀,窓割れてる…,
,-,(バリケードを破壊するカレラ),
,-,(ED),
