時間,キャスト,セリフ,BGM
,若狭悠里,由紀ちゃん！,｜
,丈槍由紀,めぐねぇに聞いてくる！,｜
,直樹美紀,すみません…,｜
,恵飛須沢胡桃,気にすんなよ…誰も悪くねえよ,｜
,直樹美紀,由紀先輩、やっぱり…あのままじゃいけませんよね,｜
,若狭悠里,美紀さん…,｜
,直樹美紀,先輩の笑顔が、みんなの心の支えになってるのは分かります。でも、だからって…,｜
,恵飛須沢胡桃,そうだよな…めぐねぇも、きっとそう思ってるよ,Vol.2 - 15 - 記憶の中の景色
,丈槍由紀,(扉の前で泣いている由紀)めぐねぇ…めぐねぇはちゃんと居るよね…,-
,佐倉慈,大丈夫よ。いくら先生の影が薄くたって、どこかに行ったりしないわ,Vol.1 - 15 - 優しいめぐねえ ありがとう
,丈槍由紀,でも時々怖いの…ちゃんと覚えてられないことがあって…その…,｜
,佐倉慈,人の記憶なんて、曖昧なものよ,｜
,佐倉慈,だから、他の人と話したり、日記を書いたり、そういうことで記憶が確かな思い出になると思うの,｜
,佐倉慈,先生は、そう思うわ,｜
,佐倉慈,たとえその人が…(扉が閉まる音),｜
,丈槍由紀,…！,｜
,佐倉慈,いなくなったとしても…,｜
,丈槍由紀,ぅん…頑張る。私頑張るよ…めぐねぇ…,Vol.1 - 15 - 優しいめぐねえ ありがとう
,-,(アイキャッチ),-
,-,(鼻歌を歌いながら廊下を走る由紀),-
,-,(部室のドアに手をかけてニヤリとする由紀),-
,丈槍由紀,ただいま！,-
,恵飛須沢胡桃,おかえり,-
,若狭悠里,おかえりなさい,-
,丈槍由紀,(みーくんに抱き付く由紀)みーくん〜,Vol.1 - 02 - 朝の訪れ
,直樹美紀,だからスキンシップは…,｜
,丈槍由紀,みーくん、なんか寂しかったよぉなんか〜,｜
,直樹美紀,知りませんよもぉ,｜
,丈槍由紀,みーくん、みーくんなんか変な匂い,｜
,直樹美紀,失礼ですよ！,｜
,丈槍由紀,違う違う、太郎丸だよ太郎丸,｜
,丈槍由紀,(太郎丸を抱き上げる由紀)よしよしよし、どうしたのお前,｜
,直樹美紀,太郎丸、お風呂入りたがらないんですよ,｜
,丈槍由紀,そっか…じゃあ、私が入れてあげる,｜
,太郎丸,ワン？,｜
,-,(お風呂用具を机に置く由紀。それを見て逃げる太郎丸),｜
,丈槍由紀,あ！待てー！,｜
,若狭悠里,そういえば、犬が見てる世界と人間が見てる世界は違うんだってね,｜
,恵飛須沢胡桃,そうなんだ,｜
