時間,キャスト,セリフ,BGM
,丈槍由紀,みーくんの方が可愛くない？,｜
,直樹美紀,可愛くなくていいです,｜
,丈槍由紀,みーくん可愛いのにぃ。ね、めぐねぇだってそう思うでしょう？,｜
,佐倉慈,由紀ちゃん、無理強いしちゃいけないわよ,｜
,丈槍由紀,え？めぐねぇは可愛いと思わない？,｜
,佐倉慈,可愛いとは思うけど、そういうことじゃないでしょう,｜
,直樹美紀,あの、さっきから何を言ってるか分からないんですけど…,｜
,直樹美紀,1つ、聞いてもいいでしょうか,｜
,直樹美紀,めぐねぇって…,Vol.1 - 12 - 学校のためのソルフェージュより
,直樹美紀,誰ですか？,-
,-,(アイキャッチ),-
,-,(りーさんに抱かれている太郎丸),-
,恵飛須沢胡桃,あれ？また開けっ放しだよ、由紀の奴,-
,恵飛須沢胡桃,おーい、由紀ー！開けっ放しだぞぉ！ってあれ？,-
,恵飛須沢胡桃,居ねぇ、由紀もあいつも,Vol.1 - 13 - 冷淡な宣告
,丈槍由紀,えーっと…みーくん何言って…,｜
,丈槍由紀,ぁあ！めぐねぇ、そんなことないよ,｜
,丈槍由紀,めぐねぇは存在感無くはないよ,｜
,丈槍由紀,ぁぁあ、落ち込まないでめぐねぇ,｜
,丈槍由紀,もぉ、酷いよみーくん,｜
,丈槍由紀,確かにめぐねぇ影薄いけど、見て分からないほどじゃないよ,｜
,丈槍由紀,え？ぁあぁごめん！いい意味で！いい意味で影が薄いんだよ！ぁぃやえぇと、んもぉ。みーくんも言ってあげて,｜
,丈槍由紀,めぐねぇは影薄くないよって,｜
,直樹美紀,あの…,｜
,丈槍由紀,めぐねぇは、ちゃんといるよって、ね？,｜
,恵飛須沢胡桃,由紀！,｜
,-,(息を切らす胡桃とりーさん),Vol.1 - 13 - 冷淡な宣告
,太郎丸,(餌をあげる胡桃、それを食べる太郎丸)ワォン！,-
,若狭悠里,そうね、それで毎日ただ暮らすのも気が滅入るから、いっそ部活の合宿ってことにしましょうってなったの,-
,直樹美紀,それが学園生活部…ですか,-
,恵飛須沢胡桃,落ち着いた頃に、めぐねぇとりーさんが考えたんだよな,-
,直樹美紀,その、めぐねぇという方は…,-
,若狭悠里,私たちの先生よ。いつも前向きで、生徒想いで、本当にいい先生,-
,直樹美紀,今は…どこに,-
,若狭悠里,もう居ないの,-
,-,(怪我をしためぐねぇが扉の前に立っている),Vol.2 - 23 - 負けない、強さ
,若狭悠里,めぐねぇは、ずっと私たちを守ってくれてた…あの日もそうだったわ,｜
,丈槍由紀,離して！,｜
,若狭悠里,由紀ちゃんやめて！,｜
,丈槍由紀,まだめぐねぇが外に！早くしないと！,｜
,恵飛須沢胡桃,ダメだ！もう！,｜
,丈槍由紀,めぐねぇ！めぐねぇ！,｜
,-,(2人を押し切って扉を叩く由紀),｜
,恵飛須沢胡桃,おーい！,｜
,丈槍由紀,めぐねぇ！開けてめぐねぇ！,｜
,丈槍由紀,めぐねぇ！めぐねぇ！！！,｜
,直樹美紀,そんなことがあったんですね…けれど、さっきの由紀先輩は、まるでその先生が生きているみたいに話してました。あれは…,｜
,恵飛須沢胡桃,由紀には、めぐねぇが見えてるんだ…,｜
,直樹美紀,幽霊…ですか？,｜
,若狭悠里,いいえ、そうじゃないわ,｜
,若狭悠里,あの子の中では、事件は起きてないの,｜
,若狭悠里,だから…あの子は今も、授業を受けているのよ,｜
,-,(崩壊した教室で一人授業を受ける由紀),Vol.2 - 23 - 負けない、強さ
,恵飛須沢胡桃,今でも由紀の中では、めぐねぇもまだ生きてるんだ,-
,直樹美紀,そうなんですか…早く、治るといいですね,-
,若狭悠里,美紀さん。お願いがあるんだけど…いいかしら,-
