時間,キャスト,セリフ,BGM
,丈槍由紀,そんなことないよ,｜
,-,(めぐねぇの墓にリボンをかける由紀),｜
,丈槍由紀,悲しいことはあんまり我慢してるとね、大切なことを忘れちゃうから,｜
,佐倉慈,私…みんなの先生で…良かった,｜
,丈槍由紀,私もめぐねぇの最期の言葉…ずっと忘れてたから,｜
,丈槍由紀,だから、悲しい時は悲しくていいんだよ,｜
,丈槍由紀,大丈夫じゃなくてもいいんだよ,｜
,丈槍由紀,だから、みーくんも忘れないであげてね。太郎丸の最期の言葉,｜
,直樹美紀,言葉って…太郎丸は何も,｜
,丈槍由紀,言ってたよ。みーくんに向かって、ありがとうって,｜
,-,(由紀に泣き付くみーくん),｜
,直樹美紀,私も…ありがとうって…(号泣するみーくんを見守る一同),｜
,-,(埋葬地で手を合わせる一同),｜
,-,(アイキャッチ),該当無し
,恵飛須沢胡桃,地下施設も…大して食料は無かったな,Vol.1 - 15 - 優しいめぐねえ ありがとう
,若狭悠里,冷蔵庫が使えなくなるから、保存の効かないものは、早めに消費しないと,｜
,直樹美紀,まずは冷凍してるものからですね,｜
,丈槍由紀,よぉし、早いもん勝ちだね！ぉお！大量のうんまい棒発見！,｜
,恵飛須沢胡桃,早速冷凍食品じゃないだろそれ！,｜
,直樹美紀,やっぱり、由紀先輩は変わりませんね,｜
,若狭悠里,うっふ…,｜
,直樹美紀,レンジはまだ使えるんですか？,｜
,若狭悠里,非常電源で動く間はね…そう長くは持たないと思うけど,｜
,恵飛須沢胡桃,てか…水道もヤバいよな,｜
,若狭悠里,えぇ、あれも電気で地下水を汲み上げてたから,｜
,恵飛須沢胡桃,やっぱり、ここを出るしかないか…,｜
,直樹美紀,でも、ここみたいに設備の整った場所なんて、他にありませんよね,｜
,若狭悠里,それなんだけど、これを見て,｜
,-,(地図を取り出すりーさん),｜
,若狭悠里,マニュアルを読み返して見つけたの。この印、避難所じゃないかしら,｜
,恵飛須沢胡桃,これって…もしかしてめぐねぇが,｜
,若狭悠里,ここからだと、ちょっと距離があるけど…,｜
,恵飛須沢胡桃,それだったら、遠足の時に使った車があるから,｜
,直樹美紀,めぐねぇ、ちゃんと先輩たちの次の進路考えててくれたんですね,｜
,若狭悠里,そうね、私たちの先生だもの,｜
,恵飛須沢胡桃,だな,Vol.1 - 15 - 優しいめぐねえ ありがとう
,若狭悠里,えっと、ここから一番近いのはこの聖イシドロス大学ね,-
,直樹美紀,あと、このランダルコーポレーションって会社も近いですよね,-
,恵飛須沢胡桃,うわ、露骨に怪しいなそれ,-
,直樹美紀,進学か、就職か、ですね,-
,恵飛須沢胡桃,でもさ、そこにも先に避難してる人たちがいるんじゃないか？,-
,若狭悠里,そうね、きっといると思うわ,-
,直樹美紀,私たちのこと、受け入れてくれますかね,-
,若狭悠里,確かに、どんな相手がいるかは、分からないものね,-
,恵飛須沢胡桃,下手したら言葉が通じる分、奴らより厄介ってことも,-
,直樹美紀,その可能性は、否定できませんよね…,-
,丈槍由紀,ねぇねぇみんな！,-
,一同,！,-
,丈槍由紀,(お菓子を食べながらハムを見せる由紀)これ見てよー！,-
,恵飛須沢胡桃,なんだよいきなりって！やっぱり菓子食ってるしー！,-
,丈槍由紀,まぁまぁ、それよりもこれこれ,-
,若狭悠里,歯形がついてるわね,-
,直樹美紀,先輩、いくらお腹が空いてるからって,-
,丈槍由紀,ぉぉ、私じゃないよぉ,-
,若狭悠里,確かに、人間の噛み跡じゃないわね,-
,丈槍由紀,太郎丸かな,-
,直樹美紀,いえ、太郎丸よりもっと小さいですよ、これ,-
,恵飛須沢胡桃,んじゃあ、あの地下に他の犬がいたってこと？,-
,一同,え？,-
,直樹美紀,私、ずっと疑問だったんです。太郎丸は何で地下区画にいたのか,Vol.2 - 26 - 友情の証
,丈槍由紀,そうだよ！きっと太郎丸、この子に会いに行ったんじゃないかな,｜
,恵飛須沢胡桃,そうだ…きっとそうだよ！じゃなきゃ、あいつがあんな危ないとこ、入り込むわけないもん,｜
,直樹美紀,太郎丸、その子犬が心配で地下に…,｜
,丈槍由紀,そうだよ！太郎丸面倒見がいいから,｜
,若狭悠里,でも、さっき地下区画に行った時は見かけなかったわよね,｜
